USPS|GEOID|GEOIDFQ|ANSICODE|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
TX|48125|0500000US48125|01383848|Dickens County|2335454677|9057846|901.724|3.497|33.615362|-100.787618
TX|48127|0500000US48127|01383849|Dimmit County|3441795892|14576001|1328.885|5.628|28.423587|-99.765871
TX|48129|0500000US48129|01383850|Donley County|2401014222|15563757|927.037|6.009|34.955036|-100.815846
TX|48131|0500000US48131|01383851|Duval County|4645084638|5478266|1793.477|2.115|27.681123|-98.497393
TX|48133|0500000US48133|01383852|Eastland County|2399644815|14002276|926.508|5.406|32.324645|-98.83656
TX|48135|0500000US48135|01383853|Ector County|2325508568|10188916|897.884|3.934|31.865301|-102.542507
TX|48137|0500000US48137|01383854|Edwards County|5485263214|5196312|2117.872|2.006|29.985933|-100.3074
TX|48139|0500000US48139|01383856|Ellis County|2423713410|41842792|935.801|16.156|32.34689|-96.796964
TX|48141|0500000US48141|01383855|El Paso County|2625018762|4548528|1013.525|1.756|31.7622|-106.241374
TX|48143|0500000US48143|01383857|Erath County|2805419686|17166729|1083.179|6.628|32.236207|-98.218336
TX|48145|0500000US48145|01383858|Falls County|1982623103|21693054|765.495|8.376|31.25193|-96.934127
TX|48147|0500000US48147|01383859|Fannin County|2273850320|54247781|877.939|20.945|33.591161|-96.104988
TX|48149|0500000US48149|01383860|Fayette County|2460316895|25574661|949.934|9.874|29.884853|-96.911002
TX|48151|0500000US48151|01383861|Fisher County|2328272077|7258479|898.951|2.803|32.740473|-100.40312
TX|48153|0500000US48153|01383862|Floyd County|2569637274|983737|992.143|0.38|34.07373|-101.303274
TX|48155|0500000US48155|01383863|Foard County|1824374439|8518913|704.395|3.289|33.963306|-99.816828
TX|48157|0500000US48157|01383864|Fort Bend County|2232877078|60631454|862.119|23.41|29.526602|-95.771015
TX|48159|0500000US48159|01383865|Franklin County|736599937|26845125|284.403|10.365|33.175846|-95.219066
TX|48161|0500000US48161|01383866|Freestone County|2273313083|36936963|877.731|14.261|31.701749|-96.144957
TX|48163|0500000US48163|01383867|Frio County|2935753494|2193621|1133.501|0.847|28.869383|-99.109005
TX|48165|0500000US48165|01383868|Gaines County|3891102449|1262946|1502.363|0.488|32.743942|-102.631561
TX|48167|0500000US48167|01383869|Galveston County|982674750|1280831816|379.413|494.532|29.235268|-94.887776
TX|48169|0500000US48169|01383870|Garza County|2313937105|7209243|893.416|2.784|33.183792|-101.301134
TX|48171|0500000US48171|01383871|Gillespie County|2740737110|8994841|1058.205|3.473|30.325089|-98.941829
TX|48173|0500000US48173|01383872|Glasscock County|2331552995|2245302|900.218|0.867|31.868006|-101.521494
TX|48175|0500000US48175|01383873|Goliad County|2206698617|19050015|852.011|7.355|28.6607|-97.430415
TX|48177|0500000US48177|01383874|Gonzales County|2762704877|8204084|1066.686|3.168|29.462881|-97.490097
TX|48179|0500000US48179|01383875|Gray County|2398261660|8700790|925.974|3.359|35.402542|-100.812374
TX|48181|0500000US48181|01383876|Grayson County|2416024513|120093894|932.832|46.369|33.624548|-96.675777
TX|48183|0500000US48183|01383877|Gregg County|708039473|6219117|273.376|2.401|32.486392|-94.816266
TX|48185|0500000US48185|01383878|Grimes County|2039536823|36601052|787.47|14.132|30.543231|-95.988082
TX|48187|0500000US48187|01383879|Guadalupe County|1842098924|9159637|711.238|3.537|29.582671|-97.948995
TX|48189|0500000US48189|01383880|Hale County|2602109493|246678|1004.68|0.095|34.068436|-101.822888
TX|48191|0500000US48191|01383881|Hall County|2288233617|53366404|883.492|20.605|34.453189|-100.576343
TX|48193|0500000US48193|01383882|Hamilton County|2165008740|1238628|835.915|0.478|31.707342|-98.111756
TX|48195|0500000US48195|01383883|Hansford County|2382296636|1548341|919.81|0.598|36.272847|-101.35693
TX|48197|0500000US48197|01383884|Hardeman County|1800332385|4553866|695.112|1.758|34.289904|-99.745697
TX|48199|0500000US48199|01383885|Hardin County|2306585566|17997154|890.578|6.949|30.329556|-94.392485
TX|48201|0500000US48201|01383886|Harris County|4422002774|180506183|1707.345|69.694|29.857273|-95.393037
TX|48203|0500000US48203|01383887|Harrison County|2331134332|40581099|900.056|15.668|32.547994|-94.374419
TX|48205|0500000US48205|01383888|Hartley County|3786445076|3013676|1461.955|1.164|35.840244|-102.610047
TX|48207|0500000US48207|01383889|Haskell County|2339103795|18465208|903.133|7.129|33.175964|-99.730774
TX|48209|0500000US48209|01383890|Hays County|1753067070|5015352|676.863|1.936|30.061225|-98.029267
TX|48211|0500000US48211|01383891|Hemphill County|2347270017|15205584|906.286|5.871|35.816|-100.27919
TX|48213|0500000US48213|01383892|Henderson County|2263100627|193314988|873.788|74.639|32.212436|-95.853439
TX|48215|0500000US48215|01383893|Hidalgo County|4069433006|30081128|1571.217|11.614|26.399458|-98.176746
TX|48217|0500000US48217|01383894|Hill County|2483433962|69540974|958.859|26.85|31.983235|-97.13059
TX|48219|0500000US48219|01383895|Hockley County|2352723960|446119|908.392|0.172|33.605932|-102.343398
TX|48221|0500000US48221|01383896|Hood County|1089715522|41745146|420.742|16.118|32.430149|-97.831677
TX|48223|0500000US48223|01383897|Hopkins County|1987637212|65631764|767.431|25.341|33.148967|-95.565434
TX|48225|0500000US48225|01383898|Houston County|3188268185|14446047|1230.997|5.578|31.323036|-95.4216
TX|48227|0500000US48227|01383899|Howard County|2333034773|8846147|900.79|3.416|32.30343|-101.438721
TX|48229|0500000US48229|01383900|Hudspeth County|11837584086|2114586|4570.517|0.816|31.450868|-105.377549
TX|48231|0500000US48231|01383901|Hunt County|2176687169|107754346|840.424|41.604|33.123308|-96.08423
TX|48233|0500000US48233|01383902|Hutchinson County|2298449946|19465687|887.437|7.516|35.837047|-101.362746
TX|48235|0500000US48235|01383903|Irion County|2723486006|176317|1051.544|0.068|31.303424|-100.981304
TX|48237|0500000US48237|01383904|Jack County|2359405665|23704611|910.972|9.152|33.235526|-98.169284
TX|48239|0500000US48239|01383905|Jackson County|2148246701|71039572|829.443|27.429|28.959802|-96.58908
TX|48241|0500000US48241|01383906|Jasper County|2431104413|80400851|938.655|31.043|30.752932|-94.022294
TX|48243|0500000US48243|01383907|Jeff Davis County|5865172231|206206|2264.556|0.08|30.628473|-104.190364
TX|48245|0500000US48245|01383908|Jefferson County|2270734693|611202804|876.736|235.987|29.854027|-94.149318
